name, expansion, army_type, unique_unit, unique_tech, team_bonus, civilization_bonus
Ethiopians, African Kingdoms, Archer, Shotel Warrior, Royals Heirs;Torsion Engines, Towers and Outposts +3 LOS, Archers move +15% faster;Receive +100 gold and +100 food when advancing to the next age; Pikemen and Halberdier upgrades free"
Goths, Age of Kings, Infantry, Huskarl, Anarchy;Perfusion, Barracks operate 20% faster,Infantry cost 35% less (starting in Feudal Age);Infantry have +1 attack against buildings;Villagers have +5 attack versus wild boar;Hunters carry +15 meat;+10 to population limit in Imperial Age
Incas, Forgotten Empires, Infantry, Kamayuk; Slinger, Couriers;Andean Sling, Farms built 50% faster,Start with a free llama;Villagers affected by Blacksmith upgrades;Houses support 10 population;Buildings cost -15% stone;Scout Cavalry is replaced by Eagle Warrior
Indians, Forgotten Empires, Gunpowder and Cavalry,Elephant Archer;Imperial Camel,Sultans;Shatagni,Camels have +5 attack vs. buildings,"Villagers cost -10% Dark, -15% Feudal, -20% Castle, -25% Imperial";Fishermen work 15% faster and carry +15;Camels +1/+1 armor
Italians, Forgotten Empires, Archer and naval, Genoese Crossbowman;Condottiero, Pavise;Silk Road, Condottiero also available in allies' barracks in Imperial Age (once you have built a castle),Advance to next age costs -15%;All dock tech costs -50%;Fishing ship cost -15 wood;Gunpowder unit costs -25%
Japanese, Age of Kings, Infantry, Samurai, Kataparuto, Galleys have +50% line of sight,Fishing Ships have 2x HP and +2 pierce armor;Fishing Ships work +5% faster in Dark Age/ +10% in Feudal Age/ +15% in Castle Age/ +20% in Imperial Age;Lumber Camps / Mining Camps / Mills are 50% cheaper;Infantry attack 25% faster (starting in Feudal Age)
Khmer, Rise of Rajas, Siege and Elephant Civilzation, Ballista Elephant, Tusk Swords;Double Crossbow, Scorpions have +1 range,Prereq buildings aren't required to advance to further ages or unlock other buildings;Battle Elephants are +15% faster;Villagers can garrison in Houses
Magyars, Forgotten Empires, Calvary Infantry, Magyar Huszar, Mercenaries;Recursive Bow,Foot archers +2 LOS,"Villagers can kill wolves with 1 strike;Forging, Iron Casting, Blast Furnace are free;Scout Cavalry, Light Cavalry, Hussar cost -15%"
Malians, African Kingdoms, Infantry, Gbeto, Tigui;Farimba, University researches +80% faster, Buildings cost -15% wood;Barracks unit +1 pierce armor per age;Gold mining upgrades free
Portuguese, African Kingdoms, Naval and Gunpowder, Caravel;Organ Gun, Carrack;Arquebus, Free cartography from Dark Age, All units costs -15% gold;Ships +10% HP;Can build Feitoria in Imperial Age
Slavs, Forgotten Empires, Cavalry, Boyars, Orthodoxy;Druzhina, Military buildings provide +5% population, Farmers works 15% faster;Siege weapons 15% cheaper;Tracking free
Vietnamese, Rise of Rajas, Archer, Rattan Archer, Chatras;Paper Money, Have access to Imperial Skirmisher Upgrade,"Reveals enemy positions at game start;Archery Range units have +10% HP in Feudal Age, +15% in Castle Age, and +20% in Imperial Age. Does not stack."
